Message Number;Time [ms];ID;DLC;Data Bytes;CANopen;Node;Index;Subindex;Interpretation
44;155320,000;0x0583;8;[0x47 0x0a 0x10 0x00 0x32 0x30 0x31 0x00];SDO_T;3;0x100a;0;server: upload response = [0x32 0x30 0x31] --> [201]
45;155410,000;0x0609;8;[0x40 0x08 0x10 0x00 0x00 0x00 0x00 0x00];SDO_R;9;0x1008;0;client: initiate upload request
46;155420,000;0x0589;8;[0x80 0x08 0x10 0x00 0x00 0x00 0x02 0x06];SDO_T;9;-;-;server: abort transfer request: "Object does not exist in the object dictionary." 
47;155460,000;0x0602;8;[0x40 0x0a 0x10 0x00 0x00 0x00 0x00 0x00];SDO_R;2;0x100a;0;client: initiate upload request
48;155960,000;0x0602;8;[0x80 0x0a 0x10 0x00 0x00 0x00 0x04 0x05];SDO_R;2;-;-;client: abort transfer request: "SDO protocol timed out." 
49;155970,000;0x0603;8;[0x23 0x16 0x10 0x01 0x88 0x13 0x01 0x00];SDO_R;3;0x1016;1;client: download request = [0x88 0x13 0x01 0x00] --> Consumer Heartbeat Time of node 1 is set to 5000 ms
50;155970,000;0x0583;8;[0x60 0x16 0x10 0x01 0x00 0x00 0x00 0x00];SDO_T;3;0x1016;1;server: initiate download response
51;155980,000;0x0701;1;[0x05];ERR_CTRL;1;-;-;Heartbeat: Operational
52;155980,000;0x0609;8;[0x40 0x09 0x10 0x00 0x00 0x00 0x00 0x00];SDO_R;9;0x1009;0;client: initiate upload request
53;155980,000;0x0589;8;[0x80 0x09 0x10 0x00 0x00 0x00 0x02 0x06];SDO_T;9;-;-;server: abort transfer request: "Object does not exist in the object dictionary." 
54;156100,000;0x0609;8;[0x40 0x0a 0x10 0x00 0x00 0x00 0x00 0x00];SDO_R;9;0x100a;0;client: initiate upload request
55;156100,000;0x0589;8;[0x80 0x0a 0x10 0x00 0x00 0x00 0x02 0x06];SDO_T;9;-;-;server: abort transfer request: "Object does not exist in the object dictionary." 
56;156190,000;0x0703;1;[0x7f];ERR_CTRL;3;-;-;Heartbeat: Preoperational (2500.0 ms)
57;156280,000;0x0609;8;[0x2b 0x0c 0x10 0x00 0xdc 0x05 0x00 0x00];SDO_R;9;0x100c;0;client: download request = [0xdc 0x05] --> [\xdc\x05]
58;156280,000;0x0589;8;[0x60 0x0c 0x10 0x00 0x00 0x00 0x00 0x00];SDO_T;9;0x100c;0;server: initiate download response
59;156320,000;0x0709;1;;ERR_CTRL;9;-;-;Node-Guarding Request (RTR)
60;156320,000;0x0709;1;[0x7f];ERR_CTRL;9;-;-;Heartbeat: Preoperational
61;156380,000;0x0609;8;[0x2f 0x0d 0x10 0x00 0x02 0x00 0x00 0x00];SDO_R;9;0x100d;0;client: download request = [0x02] --> Life time factor = 2
62;156390,000;0x0589;8;[0x60 0x0d 0x10 0x00 0x00 0x00 0x00 0x00];SDO_T;9;0x100d;0;server: initiate download response
63;157320,000;0x0709;1;;ERR_CTRL;9;-;-;Node-Guarding Request (RTR)
64;157320,000;0x0709;1;[0xff];ERR_CTRL;9;-;-;Heartbeat: Preoperational (1000.0 ms)
65;157690,000;0x0000;2;[0x01 0x03];NMT;3;-;-;NMT Start
66;157690,000;0x0183;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO1_T;3;-;-;Transmit PDO1
67;157690,000;0x0283;8;[0x09 0x32 0x09 0x32 0x00 0x00 0x00 0x00];PDO2_T;3;-;-;Transmit PDO2
68;157690,000;0x0383;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO3_T;3;-;-;Transmit PDO3
69;157690,000;0x0483;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO4_T;3;-;-;Transmit PDO4
70;157870,000;0x0603;8;[0x40 0x01 0x20 0x07 0x00 0x00 0x00 0x00];SDO_R;3;0x2001;7;client: initiate upload request
71;157870,000;0x0583;8;[0x4b 0x01 0x20 0x07 0x01 0x00 0x00 0x00];SDO_T;3;0x2001;7;server: upload response = [0x01 0x00] --> [\x01\x00]
72;157970,000;0x0000;2;[0x01 0x09];NMT;9;-;-;NMT Start
73;157970,000;0x0189;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO1_T;9;-;-;Transmit PDO1
74;157970,000;0x0289;8;[0xc0 0x01 0xff 0x03 0x8b 0x00 0x22 0x00];PDO2_T;9;-;-;Transmit PDO2
75;157980,000;0x0389;8;[0x29 0x02 0x53 0x00 0x23 0x00 0x23 0x00];PDO3_T;9;-;-;Transmit PDO3
76;157980,000;0x0489;8;[0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00];PDO4_T;9;-;-;Transmit PDO4
77;157980,000;0x0603;8;[0x40 0x01 0x20 0x01 0x00 0x00 0x00 0x00];SDO_R;3;0x2001;1;client: initiate upload request
78;157980,000;0x0583;8;[0x4b 0x01 0x20 0x01 0xf6 0xff 0x00 0x00];SDO_T;3;0x2001;1;server: upload response = [0xf6 0xff] --> [\xf6\xff]
79;158130,000;0x0603;8;[0x40 0x01 0x20 0x02 0x00 0x00 0x00 0x00];SDO_R;3;0x2001;2;client: initiate upload request
80;158130,000;0x0583;8;[0x4b 0x01 0x20 0x02 0xec 0xff 0x00 0x00];SDO_T;3;0x2001;2;server: upload response = [0xec 0xff] --> [\xec\xff]
81;158150,000;0x0609;8;[0x40 0x01 0x20 0x07 0x00 0x00 0x00 0x00];SDO_R;9;0x2001;7;client: initiate upload request
82;158150,000;0x0589;8;[0x4b 0x01 0x20 0x07 0x00 0x00 0x00 0x00];SDO_T;9;0x2001;7;server: upload response = [0x00 0x00] --> [\x00\x00]
83;158250,000;0x0609;8;[0x40 0x01 0x20 0x01 0x00 0x00 0x00 0x00];SDO_R;9;0x2001;1;client: initiate upload request
